Execution ID,Milliseconds Passed,Temperature (C),Power Usage (W),GPU Utilization (%),Memory Usage (MB),Cache Usage,Clocks Video (MHz)
100,111,61.0,32.7,1.0,737.0,1.0,885.0
100,163,61.0,32.7,1.0,737.0,1.0,885.0
100,214,61.0,25.64,1.0,737.0,1.0,885.0
100,265,61.0,24.28,1.0,737.0,1.0,885.0
100,319,61.0,24.28,1.0,737.0,1.0,885.0
100,368,61.0,24.25,1.0,737.0,1.0,885.0
100,423,61.0,24.25,1.0,737.0,1.0,885.0
100,476,61.0,24.31,1.0,737.0,1.0,885.0
100,529,61.0,24.31,1.0,737.0,1.0,885.0
100,583,61.0,24.29,1.0,737.0,1.0,885.0
100,637,61.0,24.29,1.0,737.0,1.0,885.0
100,690,61.0,24.35,1.0,737.0,1.0,885.0
100,746,61.0,24.35,1.0,737.0,1.0,885.0
100,800,61.0,24.35,1.0,737.0,1.0,885.0
100,854,61.0,24.35,1.0,737.0,1.0,885.0
100,905,61.0,24.33,1.0,737.0,1.0,885.0
100,954,61.0,24.33,1.0,737.0,1.0,885.0
100,1005,61.0,24.34,1.0,737.0,1.0,885.0
100,1056,61.0,24.34,5.0,737.0,3.0,885.0
100,1106,61.0,24.31,5.0,737.0,3.0,885.0
100,1156,61.0,24.31,5.0,737.0,3.0,885.0
100,1206,61.0,24.32,5.0,737.0,3.0,885.0
100,1255,61.0,24.32,5.0,737.0,3.0,885.0
100,1306,61.0,24.31,5.0,737.0,3.0,885.0
100,1356,61.0,24.31,5.0,737.0,3.0,885.0
100,1407,61.0,24.32,5.0,737.0,3.0,885.0
100,1455,61.0,24.32,5.0,737.0,3.0,885.0
100,1502,61.0,24.3,5.0,737.0,3.0,885.0
100,1550,61.0,24.3,5.0,737.0,3.0,885.0
100,1597,61.0,24.33,5.0,737.0,3.0,885.0
100,1644,61.0,24.33,5.0,737.0,3.0,885.0
100,1690,61.0,24.25,5.0,737.0,3.0,885.0
100,1737,61.0,24.25,5.0,737.0,3.0,885.0
100,1784,61.0,24.24,5.0,737.0,3.0,885.0
100,1834,61.0,24.24,5.0,737.0,3.0,885.0
100,1883,61.0,24.23,5.0,737.0,3.0,885.0
100,1932,61.0,24.23,5.0,737.0,3.0,885.0
100,1978,61.0,24.31,5.0,737.0,3.0,885.0
100,2027,61.0,24.31,0.0,737.0,0.0,885.0
100,2074,61.0,24.27,0.0,737.0,0.0,885.0
100,2121,61.0,24.27,0.0,737.0,0.0,885.0
100,2169,61.0,24.27,0.0,737.0,0.0,885.0
100,2216,61.0,24.38,0.0,737.0,0.0,885.0
100,2262,61.0,24.38,0.0,737.0,0.0,885.0
100,2310,61.0,24.3,0.0,737.0,0.0,885.0
100,2358,61.0,24.3,0.0,737.0,0.0,885.0
100,2407,61.0,24.31,0.0,737.0,0.0,885.0
100,2456,61.0,24.31,0.0,737.0,0.0,885.0
100,2503,61.0,24.33,0.0,737.0,0.0,885.0
100,2551,61.0,24.33,0.0,737.0,0.0,885.0
100,2597,61.0,24.36,0.0,737.0,0.0,885.0
100,2644,61.0,24.36,0.0,737.0,0.0,885.0
100,2694,61.0,24.3,0.0,737.0,0.0,885.0
100,2744,61.0,24.3,0.0,737.0,0.0,885.0
100,2794,61.0,24.3,0.0,737.0,0.0,885.0
100,2845,61.0,24.3,0.0,737.0,0.0,885.0
100,2895,61.0,24.27,0.0,737.0,0.0,885.0
100,2944,61.0,24.27,0.0,737.0,0.0,885.0
100,2994,61.0,24.27,0.0,737.0,0.0,885.0
100,3043,61.0,24.27,0.0,737.0,0.0,885.0
